altitude,id,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks,executionTime
,283,K3_FULL,13032,3/5/2019 10:21,41.878166,,-87.631929,60604,LaSalle St & Jackson Blvd,,LaSalle St & Jackson Blvd,IN_SERVICE,1,In Service,FALSE,35,3/5/2019 10:27
,284,K3_FULL,13340,3/5/2019 10:24,41.87785,,-87.62408,60604,Michigan Ave & Jackson Blvd,,Michigan Ave & Jackson Blvd,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,285,K3_FULL,13432,3/5/2019 10:26,41.889587,Off Street,-87.671956,60622,Wood St & Hubbard St,,Wood St & Hubbard St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,286,K3_FULL,13007,3/5/2019 10:24,41.878724,,-87.634793,60606,Franklin St & Quincy St,,Franklin St & Quincy St,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,287,K3_FULL,13057,3/5/2019 10:23,41.880317,,-87.635185,60606,Franklin St & Monroe St,,Franklin St & Monroe St,IN_SERVICE,1,In Service,FALSE,27,3/5/2019 10:27
,288,K3_FULL,13184,3/5/2019 10:26,41.918084,Off Street,-87.643749,60614,Larrabee St & Armitage Ave,,Larrabee St & Armitage Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,289,K3_FULL,13182,3/5/2019 10:26,41.912133,,-87.634656,60614,Wells St & Concord Ln,Wells St & Concord Ln,Wells St & Concord Ln,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,290,K3_FULL,13292,3/5/2019 10:23,41.921525,,-87.707322,60647,Kedzie Ave & Palmer Ct,,Kedzie Ave & Palmer Ct,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,291,K3_FULL,13302,3/5/2019 10:24,41.906724,,-87.63483,60610,Wells St & Evergreen Ave,,Wells St & Evergreen Ave,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,292,K3_FULL,13317,3/5/2019 10:25,41.957081,,-87.664199,60613,Southport Ave & Clark St,,Southport Ave & Clark St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,293,K3_FULL,13074,3/5/2019 10:26,41.965221,,-87.658139,60640,Broadway & Wilson Ave,,Broadway & Wilson Ave,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
